nc_061002.1 ottelia emersa plastid, complete genome
nc_060998.1 ottelia acuminata var. jingxiensis isolate 11 plastid, complete genome
nc_057494.1 ottelia alismoides voucher guo al01 chloroplast, complete genome
nc_061000.1 ottelia acuminata var. songmingensis plastid, complete genome
nc_046891.1 ottelia cordata chloroplast, complete genome
nc_061003.1 ottelia fengshanensis plastid, complete genome
nc_060999.1 ottelia acuminata var. lunanensis plastid, complete genome
nc_061005.1 ottelia mesenterium plastid, complete genome
nc_060997.1 ottelia acuminata plastid, complete genome
nc_061004.1 ottelia guanyangensis plastid, complete genome
nc_061001.1 ottelia balansae plastid, complete genome
nc_044118.1 arisaema ringens chloroplast, complete genome
nc_072165.1 arisaema prazeri voucher a399_a chloroplast, complete genome
nc_063965.1 arisaema heterophyllum chloroplast, complete genome
nc_064687.1 arisaema decipiens chloroplast, complete genome
nc_051541.1 arisaema erubescens chloroplast, complete genome
nc_065735.1 arisaema flavum chloroplast, complete genome
nc_085264.1 arisaema amurense chloroplast, complete genome
nc_053912.1 aponogeton lakhonensis isolate 18-2 chloroplast, complete genome
nc_053913.1 aponogeton rehmannii isolate 23-1 chloroplast, complete genome
nc_053910.1 aponogeton abyssinicus isolate mll11 chloroplast, complete genome
nc_053914.1 aponogeton undulatus isolate 22-2 chloroplast, complete genome
nc_053911.1 aponogeton desertorum isolate 65 chloroplast, complete genome
nc_068805.1 zostera muelleri chloroplast, complete genome
nc_036014.1 zostera marina chloroplast, complete genome
nc_058623.1 zostera japonica chloroplast, complete genome
nc_058621.1 zostera nigricaulis chloroplast, complete genome
nc_068801.1 caladium lindenii isolate rmqny chloroplast, complete genome
nc_068800.1 caladium humboldtii isolate mnbhyy chloroplast, complete genome
nc_068799.1 caladium praetermissum isolate xlmrhyy chloroplast, complete genome
nc_060474.1 caladium bicolor chloroplast, complete sequence
nc_015899.1 wolffia australiana chloroplast, complete genome
nc_047280.1 wolffia brasiliensis strain 7710 chloroplast, complete genome
nc_048463.1 wolffia globosa chloroplast, complete genome
nc_072708.1 wolffia arrhiza strain 7193 chloroplast, complete genome
nc_047233.1 spathiphyllum patulinervum chloroplast, complete genome
nc_045125.1 spathiphyllum cannifolium chloroplast, complete genome
nc_030371.1 spathiphyllum kochii isolate gp chloroplast, complete genome
nc_058756.1 pinellia pedatisecta chloroplast, complete genome
nc_052862.1 pinellia peltata chloroplast, complete genome
nc_027681.1 pinellia ternata chloroplast, complete genome
nc_061224.1 hydrocharis chevalieri chloroplast, complete genome
nc_061222.1 hydrocharis morsus-ranae chloroplast, complete genome
nc_061221.1 hydrocharis dubia chloroplast, complete genome
nc_086582.1 amorphophallus kiusianus chloroplast, complete genome
nc_086626.1 amorphophallus muelleri chloroplast, complete genome
nc_046702.1 amorphophallus konjac chloroplast, complete genome
nc_072945.1 amorphophallus coaetaneus chloroplast, complete genome
nc_086855.1 amorphophallus tonkinensis chloroplast, complete genome
nc_082906.1 amorphophallus yunnanensis chloroplast, complete genome
nc_067990.1 amorphophallus albus isolate yj-065 chloroplast, complete genome
nc_086625.1 amorphophallus paeoniifolius chloroplast, complete genome
nc_086583.1 amorphophallus kachinensis chloroplast, complete genome
nc_082907.1 amorphophallus krausei chloroplast, complete genome
nc_056329.1 amorphophallus titanum voucher mo:103059 chloroplast, complete genome
nc_070237.1 aglaonema modestum chloroplast, complete genome
nc_070395.1 aglaonema costatum plastid, complete genome
nc_070245.1 aglaonema hybrid cultivar cultivar red valentine chloroplast, complete genome
nc_084111.1 zantedeschia elliottiana chloroplast, complete sequence
nc_035499.1 zantedeschia aethiopica chloroplast, complete sequence
nc_041553.1 zantedeschia hybrid cultivar cultivar gag-si chloroplast, complete genome
nc_069975.1 vallisneria natans chloroplast, complete genome
nc_068656.1 vallisneria denseserrulata x vallisneria spiralis chloroplast, complete genome
nc_029813.1 tofieldia thibetica plastid, complete genome
nc_068654.1 tofieldia ulleungensis voucher esk21-602 chloroplast, complete genome
nc_045121.1 symplocarpus nipponicus chloroplast, complete genome
nc_033970.1 symplocarpus renifolius chloroplast, complete genome
nc_069582.1 potamogeton crispus chloroplast, complete genome
nc_029814.1 potamogeton perfoliatus plastid, complete genome
