nc_061186.1 silene delavayi voucher ghb2-001 chloroplast, complete genome
nc_077501.1 silene graminifolia voucher ge130099 chloroplast, complete genome
nc_061190.1 silene stewartiana voucher hs3-002 chloroplast, complete genome
nc_023359.1 silene chalcedonica chloroplast, complete genome
nc_040934.1 silene aprica voucher yangqe2883 (kun) plastid, complete genome
nc_035226.1 silene capitata chloroplast, complete genome
nc_016728.1 silene noctiflora chloroplast, complete genome
nc_061192.1 silene viscidula voucher hb6-001 chloroplast, complete genome
nc_061188.1 silene lineariloba voucher lyg1-001 chloroplast, complete genome
nc_077499.1 silene nana voucher tw-0127 chloroplast, complete genome
nc_077500.1 silene lithophila voucher ge130669 chloroplast, complete genome
nc_023358.1 silene conoidea chloroplast, complete genome
nc_069861.1 silene lhassana chloroplast, complete genome
nc_061187.1 silene gracilicaulis voucher mes3-003 chloroplast, complete genome
nc_077497.1 silene repens voucher ge130628 chloroplast, complete genome
nc_023360.1 silene paradoxa chloroplast, complete genome
nc_061183.1 silene asclepiadea voucher silene asclepiadea sk-002 chloroplast, complete genome
nc_048886.1 silene kiusiana chloroplast, complete genome
nc_077502.1 silene gonosperma voucher ge130701 chloroplast, complete genome
nc_016730.1 silene latifolia chloroplast, complete genome
nc_087617.1 silene firma chloroplast, complete genome
nc_061185.1 silene chodatii voucher ghb3-002 chloroplast, complete genome
nc_077503.1 silene alexandrae voucher ge130332 chloroplast, complete genome
nc_016729.1 silene conica chloroplast, complete genome
nc_069859.1 silene atsaensis chloroplast, complete genome
nc_077498.1 silene olgiana voucher q-167 chloroplast, complete genome
nc_061191.1 silene tatarinowii voucher 2015039 chloroplast, complete genome
nc_061184.1 silene atrocastanea voucher silene atrocastanea ndg2-001 chloroplast, complete genome
nc_069860.1 silene caespitella chloroplast, complete genome
nc_061189.1 silene melanantha voucher dyfd-001 chloroplast, complete genome
nc_016727.1 silene vulgaris chloroplast, complete genome
nc_049145.1 calligonum ebinuricum voucher xjbi:yab-1 chloroplast, complete genome
nc_049138.1 calligonum juochiangense voucher xjbi:cl68 chloroplast, complete genome
nc_049142.1 calligonum colubrinum voucher xjbi:ydg-1 chloroplast, complete genome
nc_049139.1 calligonum gobicum voucher xjbi:fxt-6 chloroplast, complete genome
nc_049146.1 calligonum jeminaicum voucher xjbi:049782 chloroplast, complete genome
nc_049141.1 calligonum caput-medusae voucher ibsc:tlf-119 chloroplast, complete genome
nc_053264.1 calligonum rubicundum voucher ibsc:tlf-118 chloroplast, complete genome
nc_049137.1 calligonum aphyllum voucher xjbi:ydz chloroplast, complete genome
nc_053267.1 calligonum yengisaricum voucher xjbi:cl53 chloroplast, complete genome
nc_049147.1 calligonum junceum voucher ibsc:tlf-110 chloroplast, complete genome
nc_049144.1 calligonum densum voucher xjbi:fhq chloroplast, complete genome
