nc_067702.1 isodon setschwanensis chloroplast, complete genome
nc_067782.1 isodon japonicus isolate e voucher a05 chloroplast, complete genome
nc_067780.1 isodon excisus isolate c voucher a03 chloroplast, complete genome
nc_067694.1 isodon effusus chloroplast, complete genome
nc_067664.1 isodon kangtingensis chloroplast, complete genome
nc_067693.1 isodon trichocarpus chloroplast, complete genome
nc_067651.1 isodon bulleyanus chloroplast, complete genome
nc_067707.1 isodon phyllopodus chloroplast, complete genome
nc_067685.1 isodon tenuifolius chloroplast, complete genome
nc_067677.1 isodon phyllostachys chloroplast, complete genome
nc_067675.1 isodon pseudoirroratus chloroplast, complete genome
nc_067686.1 isodon ternifolius chloroplast, complete genome
nc_067690.1 isodon wikstroemioides chloroplast, complete genome
nc_067658.1 isodon flavidus chloroplast, complete genome
nc_067652.1 isodon calcicola chloroplast, complete genome
nc_067696.1 isodon flabelliformis chloroplast, complete genome
nc_067670.1 isodon bifidocalyx chloroplast, complete genome
nc_067692.1 isodon xerophilus chloroplast, complete genome
nc_067648.1 isodon aurantiacus chloroplast, complete genome
nc_067662.1 isodon interruptus chloroplast, complete genome
nc_067699.1 isodon rosthornii chloroplast, complete genome
nc_067698.1 isodon racemosus chloroplast, complete genome
nc_067689.1 isodon weisiensis chloroplast, complete genome
nc_067669.1 isodon macrophyllus chloroplast, complete genome
nc_067701.1 isodon flexicaulis chloroplast, complete genome
nc_067781.1 isodon inflexus isolate d voucher a04 chloroplast, complete genome
nc_067673.1 isodon oresbius chloroplast, complete genome
nc_067683.1 isodon sculponeatus chloroplast, complete genome
nc_067687.1 isodon villosus chloroplast, complete genome
nc_067655.1 isodon delavayi chloroplast, complete genome
nc_067703.1 isodon secundiflorus chloroplast, complete genome
nc_067682.1 isodon scrophularioides chloroplast, complete genome
nc_067644.1 isodon alborubrus chloroplast, complete genome
nc_064127.1 isodon serra chloroplast, complete genome
nc_067709.1 isodon ramosissimus chloroplast, complete genome
nc_067665.1 isodon leucophyllus chloroplast, complete genome
nc_053708.1 isodon rubescens chloroplast, complete genome
nc_067778.1 isodon coetsa isolate a voucher a01 chloroplast, complete genome
nc_067691.1 isodon yuennanensis chloroplast, complete genome
nc_067697.1 isodon polystachys chloroplast, complete genome
nc_067700.1 isodon muliensis chloroplast, complete genome
nc_067695.1 isodon longitubus chloroplast, complete genome
nc_067642.1 isodon adenanthus chloroplast, complete genome
nc_067659.1 isodon forrestii chloroplast, complete genome
nc_067649.1 isodon barbeyanus chloroplast, complete genome
nc_067646.1 isodon anisochilus chloroplast, complete genome
nc_067680.1 isodon rugosus chloroplast, complete genome
nc_067704.1 isodon mucronatus chloroplast, complete genome
nc_067708.1 isodon schimperi chloroplast, complete genome
nc_067671.1 isodon megathyrsus chloroplast, complete genome
nc_067679.1 isodon rugosiformis chloroplast, complete genome
nc_067783.1 isodon lophanthoides isolate f voucher a06 chloroplast, complete genome
nc_067678.1 isodon pleiophyllus chloroplast, complete genome
nc_067674.1 isodon parvifolius chloroplast, complete genome
nc_067688.1 isodon wardii chloroplast, complete genome
nc_067661.1 isodon hirtellus chloroplast, complete genome
nc_067653.1 isodon coetsoides chloroplast, complete genome
nc_067779.1 isodon eriocalyx isolate b voucher a02 chloroplast, complete genome
nc_067656.1 isodon enanderianus chloroplast, complete genome
nc_067681.1 isodon scoparius chloroplast, complete genome
nc_067684.1 isodon smithianus chloroplast, complete genome
nc_067660.1 isodon gibbosus chloroplast, complete genome
nc_067672.1 isodon oreophilus chloroplast, complete genome
nc_067706.1 isodon chionanthus chloroplast, complete genome
nc_067650.1 isodon brachythyrsus chloroplast, complete genome
nc_067676.1 isodon pharicus chloroplast, complete genome
nc_067667.1 isodon loxothyrsus chloroplast, complete genome
nc_067705.1 isodon medilungensis chloroplast, complete genome
nc_067663.1 isodon irroratus chloroplast, complete genome
nc_067657.1 isodon excisoides chloroplast, complete genome
nc_067666.1 isodon macrocalyx chloroplast, complete genome
nc_058575.1 isodon nervosus chloroplast, complete genome
nc_067654.1 isodon dawoensis chloroplast, complete genome
nc_067647.1 isodon atroruber chloroplast, complete genome
nc_067643.1 isodon albopilosus chloroplast, complete genome
nc_067668.1 isodon lungshengensis chloroplast, complete genome
nc_067645.1 isodon angustifolius chloroplast, complete genome
nc_050929.1 salvia plebeia chloroplast, complete genome
nc_084045.1 salvia deserta voucher xj shi qt002 chloroplast, complete genome
nc_053375.1 salvia cavaleriei plastid, complete genome
nc_067741.1 salvia luteistriata voucher cl xiang 1153 chloroplast, complete genome
nc_071851.1 salvia sikkimensis voucher h3050217 chloroplast, complete genome
nc_050902.1 salvia yangii chloroplast, complete genome
nc_063911.1 salvia bowleyana voucher 131 chloroplast, complete genome
nc_064051.1 salvia wardii plastid, complete genome
nc_058851.1 salvia nanchuanensis chloroplast, complete genome
nc_067743.1 salvia scapiformis voucher gx hu & f zhao 0093 chloroplast, complete genome
nc_050898.1 salvia nilotica chloroplast, complete genome
nc_084044.1 salvia leucantha voucher gx hu qt003 chloroplast, complete genome
nc_040121.1 salvia chanryoenica chloroplast, complete genome
nc_053373.1 salvia subpalmatinervis plastid, complete genome
nc_038165.1 salvia officinalis voucher so_003 chloroplast, complete genome
nc_084049.1 salvia apiana voucher 2019-07 chloroplast, complete genome
nc_067742.1 salvia liguliloba voucher gx hu & f zhao 0144 chloroplast, complete genome
nc_053377.1 salvia umbratica plastid, complete genome
nc_050899.1 salvia petrophila chloroplast, complete genome
nc_057284.1 salvia campanulata isolate bop018207 chloroplast, complete genome
nc_084050.1 salvia dorystaechas voucher 2019-25 chloroplast, complete genome
nc_067738.1 salvia tricuspis voucher fw11237 chloroplast, complete genome
nc_064050.1 salvia roborowskii plastid, complete genome
nc_041091.1 salvia przewalskii chloroplast, complete genome
nc_050053.1 salvia tiliifolia chloroplast, complete genome
nc_041092.1 salvia bulleyana chloroplast, complete genome
nc_067739.1 salvia aerea voucher gx hu 614 chloroplast, complete genome
nc_050897.1 salvia merjamie chloroplast, complete genome
nc_084047.1 salvia forsskaolei voucher 2019-10 chloroplast, complete genome
nc_084048.1 salvia lyrata voucher gx hu qt011 chloroplast, complete genome
nc_035233.1 salvia japonica chloroplast, complete genome
nc_064052.1 salvia kiangsiensis plastid, complete genome
nc_061229.1 salvia trijuga voucher 0426 chloroplast, complete genome
nc_053378.1 salvia mairei plastid, complete genome
nc_058852.1 salvia honania chloroplast, complete genome
nc_065866.1 salvia prionitis chloroplast, complete genome
nc_059718.1 salvia daiguii chloroplast, complete genome
nc_053380.1 salvia mekongensis plastid, complete genome
nc_053372.1 salvia brachyloma plastid, complete genome
nc_050895.1 salvia digitaloides chloroplast, complete genome
nc_084046.1 salvia grandifolia voucher gx hu & jx yang 0427 chloroplast, complete genome
nc_063912.1 salvia dabieshanensis voucher 0165 chloroplast, complete genome
nc_067735.1 salvia glabrescens voucher 2019-26 chloroplast, complete genome
nc_067736.1 salvia glutinosa voucher 2019-11 chloroplast, complete genome
nc_050903.1 salvia yunnanensis chloroplast, complete genome
nc_064053.1 salvia chienii plastid, complete genome
nc_053374.1 salvia plectranthoides plastid, complete genome
nc_050901.1 salvia splendens chloroplast, complete genome
nc_050896.1 salvia meiliensis chloroplast, complete genome
nc_067740.1 salvia castanea voucher gx hu & jx yang 0428 chloroplast, complete genome
nc_046838.1 salvia hispanica chloroplast, complete genome
nc_064054.1 salvia sonchifolia plastid, complete genome
nc_063913.1 salvia subbipinnata voucher yjx-04 chloroplast, complete genome
nc_053376.1 salvia flava plastid, complete genome
nc_061230.1 salvia substolonifera chloroplast, complete genome
nc_067737.1 salvia nubicola voucher flph 12-124 (pe) chloroplast, complete genome
nc_020431.1 salvia miltiorrhiza chloroplast, complete genome
nc_053379.1 salvia cyclostegia plastid, complete genome
nc_050900.1 salvia sclarea chloroplast, complete genome
nc_069921.1 buddleja davidii chloroplast, complete genome
nc_069935.1 buddleja aromatica chloroplast, complete genome
nc_069936.1 buddleja brachystachya chloroplast, complete genome
nc_068052.1 buddleja globosa chloroplast, complete genome
nc_069929.1 buddleja paniculata chloroplast, complete genome
nc_042766.1 buddleja colvilei isolate gj2 chloroplast, complete genome
nc_069938.1 buddleja microstachya chloroplast, complete genome
nc_069928.1 buddleja japonica chloroplast, complete genome
nc_063329.1 buddleja officinalis chloroplast, complete genome
nc_069927.1 buddleja nivea chloroplast, complete genome
nc_042767.1 buddleja sessilifolia isolate gj9 chloroplast, complete genome
nc_069944.1 buddleja forrestii chloroplast, complete genome
nc_069942.1 buddleja myriantha chloroplast, complete genome
nc_069931.1 buddleja macrostachya chloroplast, complete genome
nc_069924.1 buddleja asiatica chloroplast, complete genome
nc_069930.1 buddleja yunnanensis chloroplast, complete genome
nc_069926.1 buddleja candida chloroplast, complete genome
nc_069925.1 buddleja fallowiana chloroplast, complete genome
nc_069941.1 buddleja x wardii chloroplast, complete genome
nc_069940.1 buddleja caryopteridifolia chloroplast, complete genome
nc_063579.1 buddleja lindleyana chloroplast, complete genome
nc_057238.1 buddleja alternifolia chloroplast, complete genome
nc_069934.1 buddleja americana chloroplast, complete genome
nc_069932.1 buddleja curviflora chloroplast, complete genome
nc_069937.1 buddleja delavayi chloroplast, complete genome
nc_069939.1 buddleja subcapitata chloroplast, complete genome
nc_069923.1 buddleja crispa chloroplast, complete genome
nc_069943.1 buddleja bhutanica chloroplast, complete genome
nc_069922.1 buddleja albiflora chloroplast, complete genome
nc_069933.1 buddleja salviifolia chloroplast, complete genome
nc_054175.1 primulina ophiopogoides chloroplast, complete genome
nc_065793.1 primulina fimbrisepala voucher kfc4144 chloroplast, complete genome
nc_069824.1 primulina maciejewskii isolate gdys voucher lsfc63-1 chloroplast, complete genome
nc_065797.1 primulina pengii voucher hast:c.i peng 24024 chloroplast, complete genome
nc_065796.1 primulina medica voucher hast:k.f. chung 2962 chloroplast, complete genome
nc_069829.1 primulina versicolor isolate 988-8 voucher ylh988 chloroplast, complete genome
nc_065794.1 primulina hezhouensis voucher hast:k.f. chung 2914 chloroplast, complete genome
nc_069823.1 primulina mabaensis isolate szy01 voucher lsfc28-1 chloroplast, complete genome
nc_036414.1 primulina linearifolia chloroplast, complete genome
nc_069827.1 primulina suichuanensis isolate 965-1 voucher ylh965 chloroplast, complete genome
nc_069826.1 primulina renifolia isolate gxda03_3 voucher gxda03 chloroplast, complete genome
nc_065795.1 primulina lutea voucher hast:k.f. chung 2916 chloroplast, complete genome
nc_069822.1 primulina luochengensis isolate lcwc_10 voucher lcwc chloroplast, complete genome
nc_036413.1 primulina huaijiensis chloroplast, complete genome
nc_069819.1 primulina alutacea isolate 978-3 voucher ylh978 chloroplast, complete genome
nc_069828.1 primulina tabacum isolate gdlz voucher lsfc59-2 chloroplast, complete genome
nc_065792.1 primulina cordata voucher hast:k.f. chung 3021 chloroplast, complete genome
nc_065798.1 primulina sclerophylla voucher hast:k.f. chung 2971 chloroplast, complete genome
nc_069821.1 primulina lobulata isolate gdyd voucher lsfc37-3 chloroplast, complete genome
nc_069820.1 primulina hunanensis isolate 907-8 voucher ylh907 chloroplast, complete genome
nc_069830.1 primulina xiziae isolate zjcs voucher lsfc19-1 chloroplast, complete genome
nc_036101.1 primulina liboensis voucher clib14r20170516 chloroplast, complete genome
nc_069825.1 primulina polycephala isolate 933-1 voucher ylh933 chloroplast, complete genome
nc_068075.1 primulina cardaminifolia chloroplast, complete genome
nc_069200.1 primulina hedyotidea chloroplast, complete genome
nc_042446.1 chionanthus ramiflorus voucher p:j.k. munzinger 245 (p00155042) chloroplast, complete genome
nc_042447.1 chionanthus virginicus isolate coll. kew-1976292 chloroplast, complete genome
nc_042282.1 chionanthus brassii voucher mpu:j.f. molino 3078 chloroplast, complete genome
nc_042283.1 chionanthus implicatus voucher k:n. pitman 543 chloroplast, complete genome
