nc_072320.1 stipa tianschanica chloroplast, complete genome
nc_059980.1 stipa roylei voucher j. dickie et al. 12/3 plastid, complete genome
nc_062948.1 stipa austroaltaica voucher (kra) s/93/1 chloroplast, complete genome
nc_062954.1 stipa pennata voucher kra s/42/17 chloroplast, complete genome
nc_062955.1 stipa przewalskyi voucher (kra) s/18/1 chloroplast, complete genome
nc_037034.1 stipa ovczinnikovii voucher kra s/17/7 plastid, complete genome
nc_028444.1 stipa lipskyi voucher stipa lipskyi chloroplast, complete genome
nc_062957.1 stipa tzveleviana voucher (kra) s/92/1 chloroplast, complete genome
nc_037027.1 stipa caucasica voucher kra s/53/1 plastid, complete genome
nc_037030.1 stipa lessingiana voucher kra 460167 plastid, complete genome
nc_072325.1 stipa baicalensis chloroplast, complete genome
nc_062953.1 stipa penicillata voucher (kun) s/111/1 chloroplast, complete genome
nc_072324.1 stipa grandis chloroplast, complete genome
nc_029390.1 stipa purpurea voucher spur20151101 chloroplast, complete genome
nc_072315.1 stipa krylovii chloroplast, complete genome
nc_072322.1 stipa aliena chloroplast, complete genome
nc_037028.1 stipa hohenackeriana voucher kra s/13/2 plastid, complete genome
nc_062946.1 stipa sibirica voucher (kra)a/2/1 chloroplast, complete genome
nc_041508.1 stipa richteriana isolate 2 plastid, complete genome
nc_037026.1 stipa capillata voucher kra s/4/2 plastid, complete genome
nc_072319.1 stipa regeliana chloroplast, complete genome
nc_037035.1 stipa x alaica voucher kra s/7/10 plastid, complete genome
nc_062956.1 stipa pulcherrima voucher (kra) s/71/5 chloroplast, complete genome
nc_041507.1 stipa heptapotamica isolate 30 plastid, complete genome
nc_072317.1 stipa sareptana chloroplast, complete genome
nc_072316.1 stipa kirghisorum chloroplast, complete genome
nc_062952.1 stipa klimesii voucher kra s/95/1 chloroplast, complete genome
nc_037029.1 stipa jagnobica voucher kra s/9/4 plastid, complete genome
nc_037032.1 stipa narynica voucher kra s/74/1 plastid, complete genome
nc_037036.1 stipa x brevicallosa voucher kra s/15/4 plastid, complete genome
nc_037033.1 stipa orientalis voucher kra s/24/2 plastid, complete genome
nc_062950.1 stipa caucasica x stipa magnifica voucher (kra) s/56/1 chloroplast, complete genome
nc_072323.1 stipa capillacea chloroplast, complete genome
nc_037037.1 stipa zalesskii voucher kra s/83/1 plastid, complete genome
nc_062959.1 stipa basiplumosa voucher (mois) s/36/1 chloroplast, complete genome
nc_037025.1 stipa borysthenica voucher szub s/74/3 plastid, complete genome
nc_065504.1 stipa bungeana chloroplast, complete genome
nc_037024.1 stipa arabica voucher kra s/61/4 plastid, complete genome
nc_037031.1 stipa magnifica voucher kra s/21/1 plastid, complete genome
nc_072318.1 stipa subsessiliflora chloroplast, complete genome
nc_027464.1 stipa hymenoides voucher can:saarela 725 plastid, complete genome
nc_072321.1 stipa roborowskyi chloroplast, complete genome
nc_062949.1 stipa breviflora voucher (kra) s/29/2 chloroplast, complete genome
nc_062951.1 stipa ehrenbergiana voucher (e) s/108/2 chloroplast, complete genome
nc_024668.1 bambusa multiplex chloroplast, complete genome
nc_026958.1 bambusa arnhemica voucher can:1846 plastid, complete genome
nc_042671.1 bambusa ventricosa chloroplast, complete genome
nc_026957.1 bambusa bambos voucher bogor botanical garden bi-1 plastid, complete genome
nc_071779.1 bambusa tuldoides chloroplast, complete genome
nc_081017.1 bambusa ooh chloroplast, complete sequence
nc_056166.1 bambusa tulda voucher hty008 plastid, complete genome
